,Quarter,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia
53,2016-09-01,86.98408890245454,71.14019891431818,52.393745072045455,18.078541489227273,29.54790307145454,5.330568482772727,3.5032256751363633,5.453161065909091,34.05392908416477
54,2016-12-01,89.52555656522726,72.82512688927272,53.80442556422727,18.50673143272727,29.828534128227272,5.237732835090909,3.6611346184090907,5.721794416454546,34.88887955620454
55,2017-03-01,89.38238080868182,73.04570192477273,52.59882268754546,18.390194471863637,30.55736367240909,5.352629628727272,3.6595040221818183,5.685236209380952,34.83397917819535
56,2017-06-01,92.03159161786363,74.85440623718182,56.30843719290909,18.83974251268182,31.569389966045456,5.7054667585,3.5532835633636366,5.498190954545454,36.045063600386364
57,2017-09-01,91.3554992975,74.109056426,54.88289498086363,18.03689381686364,31.072495764772725,5.468273382454545,3.4023406003636367,5.953955126227272,35.53517617438068
58,2017-12-01,96.45364501981818,74.09208339413637,57.89031316395455,19.26909533968182,31.636870345318183,5.591094272181818,3.488227501181818,6.381984266136363,36.85041416280114
59,2018-03-01,91.27946785236364,74.93380255213636,57.32682404090909,19.28251428727273,30.347807718772728,5.824965109227272,3.694335440454545,6.046517019409091,36.09202925256818
60,2018-06-01,92.69621778022727,75.799761117,55.85965068254546,19.191180983909092,32.29606500809091,5.705064212181818,3.8159020088636364,6.176699691045456,36.442567685482956
61,2018-09-01,92.40359597263637,76.43879258040909,56.75103564431818,18.301361332818182,31.766343364045454,5.643956793318182,3.5642834495454547,5.5689546625,36.30479047494886
62,2018-12-01,95.14411388686364,78.76772017068183,58.18519086763636,19.270815529727273,31.69973931959091,5.568864706590909,3.4306342958181815,6.234538638681818,37.28770217694886
63,2019-03-01,94.90151705109089,78.07744658945454,57.63006188731818,19.969384637,32.13496143068182,5.6686502153181815,3.359455086772727,5.940216073590909,37.21021162140341
64,2019-06-01,97.22139172345454,79.46456048522727,59.71484545495455,19.71175455418182,32.95649040109091,5.500554781363636,3.056509695863636,6.316871550863637,37.992872330874995
65,2019-09-01,97.16544625122728,76.67386491718182,59.93719122527273,19.6034403885,32.38516305931818,5.404517413227272,3.2306747832272724,6.305703434761905,37.58825018408955
66,2019-12-01,99.47428519213636,79.35568962431817,61.47333051959092,19.87755403463636,33.44136796931818,6.02351540640909,3.5544488580454545,6.221783159863636,38.67774684553978
67,2020-03-01,100.17841534718181,81.30935185727273,60.10429582877273,19.880604084954545,33.03094427968182,6.171994951681818,3.3077597715909093,6.658480198363637,38.8302307899375
68,2020-06-01,95.66824476681818,77.36053400586364,57.67014868331818,18.86455050531818,31.78284001931818,5.747710089,3.329740359272727,6.58090771,37.12558451736364
69,2020-09-01,95.52617435004545,76.24505213586363,56.09264564868182,18.328556428590908,30.367062837454544,5.477459046318182,3.0657592720454545,6.126741643727272,36.40368142034091
70,2020-12-01,97.97585654568182,77.9036674730909,59.41817078986364,20.837443835227273,34.23501557990909,5.570607942363637,3.120806669,6.591271225227273,38.20660500754545
71,2021-03-01,100.41678735209092,77.18925327686364,60.571198805090916,19.717486120090907,32.169459453363636,5.9738083317727275,2.8817953251363635,6.348794370227273,38.15857287932954
72,2021-06-01,100.18373070495454,78.07261872881818,60.615159446863636,19.348375644363635,32.883608242954544,6.033975623090909,3.0705904108181814,6.520648211772727,38.34108837670454
73,2021-09-01,94.94182144790908,80.47506951227273,61.75852391140909,19.63932092240909,33.390719157227274,5.928921729727273,3.0903712418636364,6.322480828272727,38.193403593886366
74,2021-12-01,97.34856713377272,79.37165222781817,63.56492921959091,20.717472852136364,35.35765021895455,5.837519487409091,3.368692233772727,6.440554543409092,39.000879739607946
75,2022-03-01,101.15284595877273,81.6971370044091,63.981993003727275,20.191920039818182,34.93021660477273,6.381832187909091,3.222338141772727,6.443117956272727,39.75017511218182
76,2022-06-01,102.56652108277272,80.90377667854546,63.85775646263637,20.67722741818182,36.42871118618182,6.264779742727273,3.141008313090909,6.457763186181818,40.03719300878978
77,2022-09-01,103.57899130140909,82.18658259390908,62.83225709368182,19.748984175727273,35.84584612586364,5.988452917545455,3.2288418535,6.738617316636364,40.01857167228409
78,2022-12-01,104.28824380781818,83.65841989240909,66.28903537109092,21.66087838836364,36.855909750636364,6.349278294909092,3.4067746611363634,7.221381344681817,41.21624018888068
79,2023-03-01,101.85508752195454,80.11010303590909,65.36918971604545,21.64162221659091,37.9030511695,5.9560440246363635,3.516339110772727,7.222377597636363,40.44672679913069
